able;Asya;способный;в состоянии
about;Asya;о;около
actor;Asya;актёр;деятель
after;Asya;после;потом
Air;Asya;воздух;
all;Asya;все;весь
always;Asya;всегда;
amazing;Asya;удивительный;поразительный
Animal;Asya;животное;зверь
any;Asya;любой;всякий
April;Asya;апрель;апрельский
Area;Asya;область;пространство
army;Asya;армия;множество
artist;Asya;художник;живописец
as;Asya;как;в качестве
ask;Asya;спрашивать;попросить
audience;Asya;публика;зрители
autumn;Asya;осень;
available;Asya;доступный;пригодный
away;Asya;прочь;вдаль
bad;Asya;плохие;
Bag;Asya;сумка;мешок
be;Asya;быть;находиться
become;Asya;становиться;
begin;Asya;начинать;
best;Asya;самый лучший;
better;Asya;лучше;
big;Asya;большой;крупный
Bird;Asya;птица;
black;Asya;чёрный;
blonde;Asya;блондинка;блондин
blue;Asya;голубой;грустный
Board;Asya;доска;садиться (на судно, самолёт)
Body;Asya;тело;кузов
Book;Asya;книга;бронировать
Box;Asya;коробка;ящик
Boy;Asya;мальчик;
break;Asya;ломать;перерыв
breakfast;Asya;завтрак;завтракать
bring;Asya;приносить;доставлять
Brother;Asya;брат;
build;Asya;строить;телосложение
burn;Asya;обжечься;гореть
bus;Asya;автобус;шина
buy;Asya;покупать;покупка
Cake;Asya;торт;пирог
call;Asya;звонить;звонок
Camera;Asya;фотокамера;фотоаппарат
camping;Asya;кемпинг;лагерь для автотуристов
can;Asya;мочь;уметь
Car;Asya;машина;
Card;Asya;открытка;карта
carpet;Asya;покрытие;ковер
carry;Asya;нести, перевозить;носить
case;Asya;случай;обстоятельство
catch;Asya;ловить;поймать
Chair;Asya;стул;
change;Asya;менять;изменять
Child;Asya;ребенок;
choice;Asya;выбор;отбор
choose;Asya;выбирать;избирать
City;Asya;город;
classroom;Asya;классная комната;класс
club;Asya;дубинка;клуб
cold;Asya;холодный;простуда
Color;Asya;цвет;красить
come;Asya;приходить;
company;Asya;компания;общество
Country;Asya;страна;деревня
create;Asya;создавать;творить
